sstn,sdep,stmp,ssal,sden,spHa,stub,sflu,ssig,oxys,oxyc
St.5,1,23.33825,30.707,1020.59115,9.1785,7.3896,1.06355,20.5855,77.079,3.85225
St.5,2,23.33837273,30.76702727,1020.640455,9.179,0.453172727,1.533581818,20.6308,89.63154545,4.477954545
St.5,3,23.33658571,30.80148571,1020.670157,9.178857143,0.489957143,1.542542857,20.65738571,96.27071429,4.808928571
St.5,4,23.322675,30.797725,1020.67635,9.178,0.471575,1.578525,20.6585,98.93825,4.9435
St.5,5,23.31202222,30.8309,1020.709622,9.176,0.417455556,1.566811111,20.68661111,97.23033333,4.858133333
St.5,6,23.31276364,30.83539091,1020.716191,9.176363636,0.417509091,1.623863636,20.68983636,97.27090909,4.860009091
St.5,7,23.31181429,30.89085714,1020.762529,9.174142857,0.395328571,1.577528571,20.73207143,97.08014286,4.848971429
St.5,8,23.35348333,31.16536667,1020.9629,9.170833333,0.3687,1.288233333,20.92776667,97.033,4.835433333
St.5,9,23.45825,31.270975,1021.017238,9.169375,0.3271875,0.9939125,20.9776375,95.418875,4.743375
St.5,10,23.415225,31.3714375,1021.109563,9.15925,0.3062,0.927825,21.0659,94.717125,4.709275
St.5,11,22.87565,31.50655,1021.370083,9.1505,0.291366667,0.851816667,21.32166667,91.71383333,4.599833333
St.5,12,22.2877,31.52265,1021.550913,9.13525,0.3227875,0.8555375,21.498275,90.25625,4.5739
St.5,13,21.17142857,31.66768571,1021.969943,9.124857143,0.3101,0.685428571,21.91288571,87.02828571,4.495614286
St.5,14,20.37963333,31.91931667,1022.376317,9.118333333,0.284016667,0.513716667,22.31465,82.09266667,4.29615
St.5,15,19.7208,32.09274,1022.68381,9.1069,0.28762,0.50299,22.61759,80.3891,4.25411
St.5,16,19.03916667,32.19278333,1022.937733,9.099666667,0.2764,0.414883333,22.86703333,79.5325,4.259983333
St.5,17,18.40044,32.34914,1023.22054,9.0976,0.30638,0.323,23.14518,77.85,4.21626
St.5,18,18.00405455,32.51684545,1023.450291,9.097909091,0.255481818,0.266927273,23.37022727,75.88490909,4.136754545
St.5,19,17.7555,32.57137143,1023.5562,9.097571429,0.242542857,0.246742857,23.47195714,75.89257143,4.155414286
St.5,20,17.62346,32.61258,1023.62408,9.0968,0.25666,0.1939,23.53522,75.3314,4.13412
St.5,21,17.5154,32.63084444,1023.668378,9.096666667,0.245688889,0.1913,23.57498889,74.79077778,4.112488889
St.5,22,17.2661,32.6727,1023.763563,9.09325,0.256975,0.201875,23.6661875,74.553375,4.11805
St.5,23,17.00156667,32.79416667,1023.923783,9.0925,0.285033333,0.158916667,23.82153333,73.95516667,4.102866667
St.5,24,16.8733,32.87016667,1024.016183,9.092083333,0.29965,0.163966667,23.90978333,73.01416667,4.058866667
St.5,25,16.73115385,32.99118462,1024.147085,9.090076923,0.320153846,0.159138462,24.03567692,73.02930769,4.067938462
St.5,26,16.61132857,33.09847857,1024.261229,9.088,0.320235714,0.141828571,24.14576429,72.0565,4.020435714
St.5,27,16.84388571,33.7181,1024.6867,9.086142857,0.283928571,0.147228571,24.56698571,72.197,3.995028571
St.5,28,17.8617,33.99196154,1024.6583,9.074846154,0.171176923,0.169761538,24.53383077,69.21038462,3.749953846
St.5,29,18.0094,33.97901111,1024.6159,9.074777778,0.141433333,0.1775,24.48791111,65.33444444,3.530055556
St.5,30,18.0818,34.0029375,1024.62135,9.0765,0.1206125,0.1889125,24.488475,65.193125,3.517125
St.5,31,18.23641818,34.06112727,1024.631991,9.074818182,0.112463636,0.171090909,24.49489091,64.99281818,3.494854545
St.5,32,18.2945,34.05191818,1024.614673,9.072909091,0.125636364,0.1602,24.47348182,64.45272727,3.462227273
St.5,33,18.3101,34.0554375,1024.61795,9.072875,0.1162125,0.1972,24.4723375,64.43125,3.459975
St.5,34,18.30047273,34.05074545,1024.621318,9.071909091,0.125509091,0.186345455,24.47110909,64.23418182,3.450118182
St.5,35,18.28654286,34.04295714,1024.623043,9.070714286,0.108257143,0.174028571,24.46858571,64.12228571,3.445171429
St.5,36,18.1868875,33.9628625,1024.591063,9.070125,0.1107,0.18395,24.4319125,64.160625,3.455375
St.5,37,17.9771125,33.938525,1024.628213,9.068125,0.1202375,0.1757375,24.4648125,63.4875,3.4332375
St.5,38,17.76205714,33.87107143,1024.633586,9.067142857,0.122871429,0.159428571,24.46552857,62.77314286,3.409871429
St.5,39,17.6158,33.9451625,1024.730363,9.065625,0.1328375,0.1575375,24.5577125,62.3205,3.3932125
St.5,40,17.5273125,33.9709625,1024.776025,9.064875,0.129775,0.14675,24.5988125,62.093375,3.3860375
St.5,41,17.44687143,33.98045714,1024.807143,9.064571429,0.160342857,0.122814286,24.62541429,62.64428571,3.421128571
St.5,42,17.4132875,33.9846625,1024.822938,9.064,0.1688625,0.1547625,24.6367125,62.576125,3.4195375
St.5,43,17.37958571,33.97678571,1024.829214,9.062857143,0.1682,0.126728571,24.63874286,62.50614286,3.418071429
St.5,44,17.3207625,33.9712625,1024.843625,9.061625,0.17345,0.1290375,24.648575,62.177125,3.4040375
St.5,45,17.24017143,33.96447143,1024.862157,9.062714286,0.200228571,0.124442857,24.66257143,62.25971429,3.413957143
St.5,46,17.2093,33.979275,1024.885325,9.063,0.1846875,0.1181625,24.6813,62.700875,3.4398875
St.5,47,17.2043,33.980325,1024.8916,9.06225,0.2341,0.1260625,24.6833125,62.714375,3.440925
St.5,48,17.1910625,33.9633375,1024.886275,9.062875,0.1715625,0.1394125,24.673425,62.681,3.4403375
St.5,49,17.10341429,33.93814286,1024.892471,9.063571429,0.168628571,0.125857143,24.6749,62.66971429,3.446042857
St.5,50,16.9792,33.981275,1024.959275,9.062375,0.1885125,0.1182375,24.73735,62.800875,3.4605875
St.5,51,16.9523,34.0286,1025.006563,9.059125,0.20625,0.101525,24.7799875,62.331125,3.4355
St.5,52,16.9078125,34.028225,1025.020875,9.058125,0.2022375,0.100675,24.7901875,61.4045,3.38735
St.5,53,16.83028571,34.05487143,1025.064186,9.056285714,0.1915,0.094385714,24.82887143,61.04885714,3.372228571
St.5,54,16.77542857,34.07204286,1025.094757,9.053857143,0.187142857,0.091842857,24.85491429,60.46628571,3.343257143
St.5,55,16.76970909,34.10550909,1025.125991,9.054454545,0.188354545,0.078581818,24.88194545,60.48972727,3.344254545
St.5,56,16.61133333,34.12485,1025.182317,9.056833333,0.202116667,0.074116667,24.93375,60.47983333,3.35355
St.5,57,16.49875,34.37821667,1025.407717,9.06,0.2728,0.065716667,25.15455,61.15566667,3.3932
St.5,58,16.508125,34.385075,1025.415258,9.059166667,0.4488,0.060508333,25.15765,61.4795,3.4104
St.5,59,16.49891429,34.40558571,1025.437514,9.060142857,0.5137,0.048814286,25.17557143,61.12971429,3.3912
St.5,60,16.50231429,34.411,1025.445529,9.059285714,0.548142857,0.038014286,25.17892857,61.18414286,3.393885714
St.5,61,16.50534444,34.40996667,1025.448322,9.059444444,0.559333333,0.046166667,25.17744444,61.308,3.400577778
St.5,62,16.50484286,34.41005714,1025.453171,9.059285714,0.5841,0.057528571,25.17761429,61.317,3.401085714
St.5,63,16.5042875,34.40975,1025.457325,9.05925,0.5978375,0.053375,25.1775,61.24275,3.397025
St.5,64,16.502575,34.4074875,1025.460338,9.05825,0.6087125,0.04985,25.176175,61.18575,3.394025
St.5,65,16.49597273,34.40703636,1025.466045,9.058636364,0.601718182,0.042972727,25.17734545,61.15890909,3.392981818
St.5,66,16.499,34.40516667,1025.467983,9.057666667,0.5976,0.04155,25.17523333,61.33883333,3.4028
St.5,67,16.4899,34.40164,1025.47186,9.0574,0.62714,0.03202,25.1746,61.2666,3.39948
St.5,68,16.4848,34.40375714,1025.480071,9.056857143,0.610064286,0.039271429,25.17745,61.28607143,3.400842857
St.5,69,16.48315556,34.40356667,1025.484078,9.057222222,0.639888889,0.047511111,25.17767778,61.19222222,3.395733333
St.5,70,16.48136,34.40338,1025.48884,9.057,0.6549,0.03812,25.1779,61.0858,3.38996
St.5,71,16.48191667,34.4016,1025.491783,9.056166667,0.621766667,0.043833333,25.17645,61.22383333,3.397633333
St.5,72,16.47693846,34.40266154,1025.498508,9.055,0.653361538,0.044053846,25.17843077,61.156,3.394161538
St.5,73,16.480475,34.4014,1025.500625,9.05575,0.644,0.045275,25.176625,61.233,3.398225
St.5,74,16.47615,34.40041667,1025.505817,9.055,0.641833333,0.04945,25.1769,61.12133333,3.392333333
St.5,75,16.47954286,34.40357143,1025.511871,9.055285714,0.672814286,0.049142857,25.17852857,61.17971429,3.395271429
St.5,76,16.46535,34.393025,1025.511333,9.055,0.721808333,0.033091667,25.17370833,61.16533333,3.395641667
St.5,77,16.45711429,34.3978,1025.520914,9.054428571,0.6981,0.039214286,25.17927143,61.23928571,3.400185714
St.5,78,16.458,34.3956,1025.523886,9.053142857,0.695471429,0.050457143,25.17738571,61.173,3.3965
St.5,79,16.45628571,34.39515714,1025.5285,9.053285714,0.698557143,0.040528571,25.17745714,61.08957143,3.392
St.5,80,16.45353,34.39499,1025.53343,9.0521,0.71944,0.04894,25.17796,61.2495,3.40105
St.5,81,16.45524,34.39765,1025.53913,9.0519,0.71839,0.02851,25.17962,61.242,3.40047
St.5,82,16.46022,34.3978,1025.54276,9.0514,0.69976,0.06056,25.17856,61.1968,3.3976
St.5,83,16.45775714,34.39411429,1025.544929,9.052,0.661928571,0.051428571,25.17631429,61.20414286,3.398271429
